Table No 6,,,,,,,,,,,,,,,
PROVINCE-WISE AREA & PRODUCTION  OF WHEAT CROP IN PAKISTAN,,,,,,,,,,,,,,,
District/,Sheikhu,Nankana,Lahore,Kasur,Okara,Sahiwal,Pakpattan,Multan,Lodhran,,,,,,
Year,pura,Sahib,,,,,,,,,,,,,
2000-01,9.7,0,2.6,10,53.3,28.7,34.6,7,1,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF MAIZE CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,,,,,,,Bahawal,Rahimyar,Bahawal,,,,,
Year,Khanewal,Vehari,,M. Garh,Layyah,D.G. Khan,Rajanpur,pur,Khan,nagar,,,,,
2000-01,11.8,,12.5,3.4,0.7,1.2,0.3,1.9,3.3,3.6,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF MAIZE CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Khairpur,,Ghotki,,Sukkur,,N. Feroze,,Nawabshah,Jacobabad,,Kashmore,,Shikarpur,
2000-01,,0.1,,0.4,,0.3,,0.3,0.3,,0,,0,,0.1
"District/Year",Larkana,K.S.Kot,Sanghar,Thar parkar,Mirpur khas,Umarkot,Dadu,Jamshoro,,,,,,,
2000-01,0,0,1.6,0,1.9,0,0,0,,,,,,,
"District/Year",Hyderabad,Matiari,Tando Allahyar,T.M.Khan,Badin,Thatta,Karachi,,,,,,,,
2000-01,1.5,0,0,0,0.8,0.4,0,,,,,,,,
T-WISE AREA & PRODUCTION  OF MAIZE CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Peshawar,Charsadda  Nowshera,Mardan,Swabi,,Kohat,,Hangu,,Karak,,Mansehra,,,
2000-01,14.6,18.9 11.5,31.7,,40.4,,12.9,,0,,0.1,60,,,
T-WISE AREA & PRODUCTION  OF MAIZE CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,Abbottaba,,,,,,,,,,,,,
Year,Battagram,d,Haripur,,Kohistan,Malakand,Swat,,Bunir,,Shangla,,Dir  Lower,,
2000-01,19.1,34.8,39.5,,26.7,5.6,,56,,46.8,37.5,,15,,
T-WISE AREA & PRODUCTION  OF MAIZE CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,Lakki,Mohmand,,,,,
Year,Dir Upper,Chitral,,D.I.Khan,Tank,,Bannu,,Marwat,Agency,Khyber,,Kurram,,
2000-01,0,,6,1.1,,0.2,,8,3.1,2.2,,4.4,,6.5,
T-WISE AREA & PRODUCTION  OF MAIZE CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,F.R.,,,,F.R. D.I.,,
Year,Orakzai,,Bajour,,N.W,,S.W,,Peshawar,,F.R. Kohat,F.R. Bannu,Khan,,
2000-01,,4,,17.5,,5.6,,3,,1.5,1.2,0.5,,0.6,
STRICT-WISE AREA & PRODUCTION  OF MAIZE CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
PROVINCE-WISE AREA & PRODUCTION  OF BAJRA CROP IN PAKISTAN,,,,,,,,,,,,,,,
Province/,,,,,,,,,,,,,,,
PakistanYearPunjab,Sindh,KPK,Balochistan,,,,,,,,,,,,
2000-01 303.1,80.5,5.4,0.6,389.6,,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN PUNJAB,,,,,,,,,,,,,,,
District/ Year,Attock,,Rawalpindi,Islamaba d,Jhelum,C hakwal,,Sargodha,Khushab,Mianwali,Bhakkar,,,,
2000-01,,4.6,7.8,0.2,27.5,,16.3,17.1,7.1,12.7,12.2,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BAJRA CROP IN PUNJAB,,,,,,,,,,,,,,,
District/ Year,TekSingh,,,,,,,,,,,,,,
2000-01,3.1 0.6,24.6,55.7,,14.6,4.2,15.2,4.1,8.8,,,,,,
